Name,Slug,SKU,Type,Status,Regular price
ЗЕЛЕН ЧАЙ ДЖИНДЖИФИЛ,zelen-chay-dzhindzhifil,64,simple,publish,4.60
ЗЕЛЕН ЧАЙ ПЕЧЕНА ЯБЪЛКА,zelen-chay-pechena-yablka,74,simple,publish,5.00
РОЙБОС ОРГАНИК,roybos-organik,107,simple,publish,4.10
РОЙБОС ОРИЕНТАЛСКА НОЩ,roybos-orientalska-noshch,108,simple,publish,4.40
РОЙБОС ДЖИНДЖЪР - ПОРТОКАЛ,roybos-dzhindzhr---portokal,109,simple,publish,5.00
РОЙБОС ЛИМОН И ДЖИНДЖИФИЛ,roybos-limon-i-dzhindzhifil,110,simple,publish,5.00
РОЙБОС ШОКОЛАД И ПОРТОКАЛ,roybos-shokolad-i-portokal,111,simple,publish,5.30
РОЙБОС КАРАМЕЛ,roybos-karamel,113,simple,publish,5.00
РОЙБОС PARADISO,roybos-paradiso,114,simple,publish,4.40
"РОЙБОС ЛЯТО (МЕНТА, ГРЕЙПФРУТ, ПОРТОКАЛ)",roybos-lyato-menta-greypfrut-portokal,115,simple,publish,5.60
ЛАПАЧО,lapacho,116,simple,publish,4.10
ЛАПАЧО ПОРТОКАЛ И ВАНИЛИЯ,lapacho-portokal-i-vaniliya,117,simple,publish,4.20
МАТЕ АКАЙ,mate-akay,119,simple,publish,5.60
ЙОГА ЧАЙ /АЮРВЕДА/,yoga-chay-ayurveda,120,simple,publish,5.40
ЧЕРЕН ЧАЙ ПАНЕТОНЕ,cheren-chay-panetone,233,simple,publish,5.60
ЗЕЛЕН ЧАЙ УЛОНГ SPICE NOTE,zelen-chay-ulong-spice-note,268,simple,publish,8.20
РОЙБОС АКАЙ-ФЪСТЪЧЕНО МАСЛО,roybos-akay-fstcheno-maslo,305,simple,publish,5.00
КАФЕ СИНЯ СЛИВА И КАНЕЛА 100 % АРАБИКА,kafe-sinya-sliva-i-kanela-100-arabika,318,simple,publish,9.20
ЧЕРЕН ЧАЙ КАНЕЛА,cheren-chay-kanela,320,simple,publish,5.00
РОЙБОС СЛАДЪК ГРЯХ,roybos-sladk-gryah,323,simple,publish,5.60
ЗЕЛЕН ЧАЙ ПОРТОКАЛОВА БИСКВИТКА,zelen-chay-portokalova-biskvitka,330,simple,publish,5.60
КАФЕ РОМ И ШОКОЛАД 100 % АРАБИКА,kafe-rom-i-shokolad-100-arabika,338,simple,publish,9.20
РОЙБОС ПЕЧЕНА ЯБЪЛКА,roybos-pechena-yablka,347,simple,publish,4.60
КАФЕ ОРЕХОВ КРЕМ 100 % АРАБИКА,kafe-orehov-krem-100-arabika,367,simple,publish,9.20
ЗЕЛЕН ЧАЙ КАРДАМОМ И КАНЕЛА - Spice tea,zelen-chay-kardamom-i-kanela---spice-tea,390,simple,publish,7.80
КАФЕ КОЛЕДНА БИСКВИТКА 100% АРАБИКА,kafe-koledna-biskvitka-100-arabika,392,simple,publish,9.20
РОЙБОС БРЮЛЕ С ПОДПРАВКИ,roybos-bryule-s-podpravki,412,simple,publish,5.60
РОЙБОС БИСКВИТКА,roybos-biskvitka,413,simple,publish,5.60
ЧЕРЕН ЧАЙ БИСКВИТКА,cheren-chay-biskvitka,417,simple,publish,5.80
ХЪНИБУШ / HONEYBUSH,hnibush-honeybush,439,simple,publish,3.20